35108:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        126836       10429584  [B (java.base@25)
   2:         25004        3684264  [Ljava.lang.Object; (java.base@25)
   3:        120286        2886864  java.lang.String (java.base@25)
   4:         82831        2650592  java.util.concurrent.ConcurrentHashMap$Node (java.base@25)
   5:         18848        2383752  java.lang.Class (java.base@25)
   6:         26348        2318624  java.lang.reflect.Method (java.base@25)
   7:           763        2191280  [C (java.base@25)
   8:          9940         940856  [I (java.base@25)
   9:         22532         901280  java.util.LinkedHashMap$Entry (java.base@25)
  10:           690         782432  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25)
  11:          9354         741320  [Ljava.util.HashMap$Node; (java.base@25)
  12:         10717         685888  java.util.LinkedHashMap (java.base@25)
  13:         42764         684224  java.lang.Object (java.base@25)
  14:         11207         537936  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  15:         15620         499840  java.util.HashMap$Node (java.base@25)
  16:         15340         414048  [Ljava.lang.Class; (java.base@25)
  17:          7983         383184  java.lang.invoke.MemberName (java.base@25)
  18:         12539         300936  java.util.ArrayList (java.base@25)
  19:          1583         299648  [Ljdk.internal.vm.FillerElement; (java.base@25)
  20:           651         274048  [J (java.base@25)
  21:         11274         270576  org.springframework.core.MethodClassKey
  22:          5869         234760  java.lang.invoke.MethodType (java.base@25)
  23:          3603         201768  org.springframework.core.ResolvableType
  24:          5881         188192  jdk.internal.util.WeakReferenceKey (java.base@25)
  25:            87         161520  [Ljava.nio.channels.SelectionKey; (java.base@25)
  26:          3271         157008  java.util.HashMap (java.base@25)
  27:          5392         129408  java.lang.invoke.ResolvedMethodName (java.base@25)
  28:          2737         124704  [Ljava.lang.String; (java.base@25)
  29:          3073         122920  java.lang.ref.SoftReference (java.base@25)
  30:          2354         112992  org.apache.tomcat.util.buf.ByteChunk
  31:          2686         107440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@25)
  32:          2681         107240  java.util.TreeMap$Entry (java.base@25)
  33:          2650         106000  java.lang.invoke.DirectMethodHandle (java.base@25)
  34:          2200         105600  org.apache.tomcat.util.buf.CharChunk
  35:          2150         103200  org.apache.tomcat.util.buf.MessageBytes
  36:           960         102640  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  37:            41          95952  [Ljava.nio.ByteBuffer; (java.base@25)
  38:          3835          92040  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@25)
  39:           478          91776  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  40:          2288          91520  jdk.internal.util.SoftReferenceKey (java.base@25)
  41:          1840          88320  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
  42:          1202          86544  java.lang.reflect.Constructor (java.base@25)
  43:          1763          84624  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25)
  44:          2571          82272  java.lang.invoke.LambdaForm$Name (java.base@25)
  45:          2030          81200  java.util.WeakHashMap$Entry (java.base@25)
  46:          1229          78656  java.util.concurrent.ConcurrentHashMap (java.base@25)
  47:          3835          72040  [Lsun.reflect.generics.tree.TypeArgument; (java.base@25)
  48:           783          71168  [Ljava.util.WeakHashMap$Entry; (java.base@25)
  49:          2858          68592  sun.reflect.annotation.AnnotationInvocationHandler (java.base@25)
  50:          1215          68040  org.springframework.core.annotation.TypeMappedAnnotation
  51:           116          67744  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  52:           383          67408  org.springframework.beans.factory.support.RootBeanDefinition
  53:          2022          64704  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25)
  54:          2021          64672  java.lang.ref.WeakReference (java.base@25)
  55:          3716          59456  sun.reflect.generics.tree.ClassTypeSignature (java.base@25)
  56:          1836          58752  java.lang.ref.ReferenceQueue (java.base@25)
  57:          1794          57408  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  58:           728          55328  [Ljava.lang.ref.SoftReference; (java.base@25)
  59:          2122          51072  [Ljava.lang.reflect.Type; (java.base@25)
  60:           709          51048  java.lang.reflect.Field (java.base@25)
  61:          2100          50400  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@25)
  62:           284          49400  [Z (java.base@25)
  63:           771          49344  org.springframework.core.MethodParameter
  64:             3          49200  [Ljdk.internal.ref.PhantomCleanable; (java.base@25)
  65:          1182          47280  org.springframework.core.type.classreading.SimpleMethodMetadata
  66:            82          47232  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  67:           971          46608  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25)
  68:           942          45216  ch.qos.logback.classic.Logger
  69:          1859          44616  org.springframework.cglib.core.Signature
  70:          1836          44064  java.util.concurrent.CopyOnWriteArrayList (java.base@25)
  71:          1831          43944  java.lang.Class$AnnotationData (java.base@25)
  72:          1808          43392  java.util.LinkedHashMap$LinkedKeySet (java.base@25)
  73:          2625          42000  java.util.LinkedHashSet (java.base@25)
  74:          1724          41376  java.util.jar.Attributes$Name (java.base@25)
  75:          1696          40704  java.util.LinkedHashMap$LinkedValues (java.base@25)
  76:          1688          40512  org.apache.ibatis.scripting.xmltags.IfSqlNode
  77:           998          39920  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25)
  78:           960          38400  org.springframework.util.ConcurrentReferenceHashMap$Segment
  79:          1182          37824  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
  80:           779          37392  java.util.WeakHashMap (java.base@25)
  81:          1536          36864  io.netty.util.HashedWheelTimer$HashedWheelBucket
  82:          1152          36864  java.util.Locale (java.base@25)
  83:          1152          36864  sun.util.locale.BaseLocale (java.base@25)
  84:           685          36176  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25)
  85:          1119          35808  java.lang.Package (java.base@25)
  86:           862          34480  java.lang.Package$VersionInfo (java.base@25)
  87:           609          34104  java.nio.HeapByteBuffer (java.base@25)
  88:           466          33552  io.netty.buffer.PoolSubpage
  89:           465          33480  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
  90:             1          32784  [Lcom.alibaba.fastjson2.JSONFactory$NameCacheEntry2;
  91:             1          32784  [Lcom.alibaba.fastjson2.JSONFactory$NameCacheEntry;
  92:           680          32640  java.lang.invoke.LambdaForm (java.base@25)
