31420:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        127007       10442112  [B (java.base@25)
   2:         25977        4448608  [Ljava.lang.Object; (java.base@25)
   3:        120410        2889840  java.lang.String (java.base@25)
   4:         82828        2650496  java.util.concurrent.ConcurrentHashMap$Node (java.base@25)
   5:         18904        2390864  java.lang.Class (java.base@25)
   6:         26319        2316072  java.lang.reflect.Method (java.base@25)
   7:           764        2191696  [C (java.base@25)
   8:          9907         939752  [I (java.base@25)
   9:         22581         903240  java.util.LinkedHashMap$Entry (java.base@25)
  10:           708         783424  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25)
  11:          9358         740768  [Ljava.util.HashMap$Node; (java.base@25)
  12:         10729         686656  java.util.LinkedHashMap (java.base@25)
  13:         42841         685456  java.lang.Object (java.base@25)
  14:         11194         537312  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  15:         15571         498272  java.util.HashMap$Node (java.base@25)
  16:         15224         411080  [Ljava.lang.Class; (java.base@25)
  17:          8039         385872  java.lang.invoke.MemberName (java.base@25)
  18:          1416         361808  [Ljdk.internal.vm.FillerElement; (java.base@25)
  19:         12612         302688  java.util.ArrayList (java.base@25)
  20:           700         300816  [J (java.base@25)
  21:         11297         271128  org.springframework.core.MethodClassKey
  22:          5881         235240  java.lang.invoke.MethodType (java.base@25)
  23:          3598         201488  org.springframework.core.ResolvableType
  24:          5881         188192  jdk.internal.util.WeakReferenceKey (java.base@25)
  25:            96         161736  [Ljava.nio.channels.SelectionKey; (java.base@25)
  26:          3264         156672  java.util.HashMap (java.base@25)
  27:            50         132960  [Ljava.nio.ByteBuffer; (java.base@25)
  28:          5458         130992  java.lang.invoke.ResolvedMethodName (java.base@25)
  29:          2748         125016  [Ljava.lang.String; (java.base@25)
  30:          3073         122920  java.lang.ref.SoftReference (java.base@25)
  31:          2560         122880  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
  32:          2354         112992  org.apache.tomcat.util.buf.ByteChunk
  33:          2704         108160  java.util.TreeMap$Entry (java.base@25)
  34:          2695         107800  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@25)
  35:          2683         107320  java.lang.invoke.DirectMethodHandle (java.base@25)
  36:          2200         105600  org.apache.tomcat.util.buf.CharChunk
  37:          2150         103200  org.apache.tomcat.util.buf.MessageBytes
  38:           960         102616  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  39:          2391          95640  java.util.WeakHashMap$Entry (java.base@25)
  40:          3850          92400  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@25)
  41:           478          91776  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  42:          2288          91520  jdk.internal.util.SoftReferenceKey (java.base@25)
  43:           156          91104  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  44:          1204          86688  java.lang.reflect.Constructor (java.base@25)
  45:          1755          84240  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25)
  46:          2530          80960  java.lang.invoke.LambdaForm$Name (java.base@25)
  47:          2496          79872  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  48:          1238          79232  java.util.concurrent.ConcurrentHashMap (java.base@25)
  49:           811          74544  [Ljava.util.WeakHashMap$Entry; (java.base@25)
  50:          3850          72320  [Lsun.reflect.generics.tree.TypeArgument; (java.base@25)
  51:          2858          68592  sun.reflect.annotation.AnnotationInvocationHandler (java.base@25)
  52:          1215          68040  org.springframework.core.annotation.TypeMappedAnnotation
  53:           383          67408  org.springframework.beans.factory.support.RootBeanDefinition
  54:          2062          65984  java.lang.ref.WeakReference (java.base@25)
  55:          2058          65856  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25)
  56:          3730          59680  sun.reflect.generics.tree.ClassTypeSignature (java.base@25)
  57:          1864          59648  java.lang.ref.ReferenceQueue (java.base@25)
  58:           728          55328  [Ljava.lang.ref.SoftReference; (java.base@25)
  59:           751          54072  java.lang.reflect.Field (java.base@25)
  60:          2132          51296  [Ljava.lang.reflect.Type; (java.base@25)
  61:          2100          50400  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@25)
  62:           283          49376  [Z (java.base@25)
  63:           771          49344  org.springframework.core.MethodParameter
  64:             3          49200  [Ljdk.internal.ref.PhantomCleanable; (java.base@25)
  65:          1182          47280  org.springframework.core.type.classreading.SimpleMethodMetadata
  66:            82          47232  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  67:           984          47232  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25)
  68:           942          45216  ch.qos.logback.classic.Logger
  69:          1859          44616  org.springframework.cglib.core.Signature
  70:          1837          44088  java.lang.Class$AnnotationData (java.base@25)
  71:          1836          44064  java.util.concurrent.CopyOnWriteArrayList (java.base@25)
  72:          1807          43368  java.util.LinkedHashMap$LinkedKeySet (java.base@25)
  73:          2624          41984  java.util.LinkedHashSet (java.base@25)
  74:          1724          41376  java.util.jar.Attributes$Name (java.base@25)
  75:          1700          40800  java.util.LinkedHashMap$LinkedValues (java.base@25)
  76:          1688          40512  org.apache.ibatis.scripting.xmltags.IfSqlNode
  77:          1002          40080  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25)
  78:           807          38736  java.util.WeakHashMap (java.base@25)
  79:           960          38400  org.springframework.util.ConcurrentReferenceHashMap$Segment
  80:           723          37952  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25)
  81:          1182          37824  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
  82:          1536          36864  io.netty.util.HashedWheelTimer$HashedWheelBucket
